source_clip,frame,timestamp,prev_brightness,curr_brightness,brightness_diff,changed_pixels_ratio,std_curr,label
1775067445697-LastNightinSoho.mp4,119,4.96,10.36,61.81,51.45,0.605,53.55,0
1775067445697-LastNightinSoho.mp4,155,6.46,62.23,100.31,38.08,0.55,71.13,0
1775067445697-LastNightinSoho.mp4,191,7.97,0.0,34.24,34.24,0.375,40.27,0
1775067445697-LastNightinSoho.mp4,313,13.05,0.0,33.24,33.24,0.458,35.26,0
1775067445697-LastNightinSoho.mp4,767,31.99,18.32,74.59,56.27,0.598,72.55,0
1775067445697-LastNightinSoho.mp4,1485,61.94,5.11,80.59,75.47,0.694,57.21,0
1775067445697-LastNightinSoho.mp4,1526,63.65,65.46,100.24,34.78,0.604,61.56,0
1775067445697-LastNightinSoho.mp4,1668,69.57,25.09,53.95,28.86,0.509,45.07,0
1775067445697-LastNightinSoho.mp4,1699,70.86,50.0,76.78,26.78,0.463,52.11,0
1775067445697-LastNightinSoho.mp4,1811,75.53,5.06,55.27,50.21,0.675,40.3,0
1775067445697-LastNightinSoho.mp4,1855,77.37,33.55,147.43,113.88,0.709,91.6,1
1775067445697-LastNightinSoho.mp4,2357,98.31,34.88,98.82,63.94,0.744,59.68,1
1775067445697-LastNightinSoho.mp4,2423,101.06,24.06,75.4,51.34,0.616,59.29,0
1775067445697-LastNightinSoho.mp4,2509,104.65,19.88,71.25,51.37,0.513,64.78,0
1775067445697-LastNightinSoho.mp4,3151,131.42,10.96,89.96,79.0,0.804,59.6,0
PokemonEpilepticScene.mp4,278,9.27,4.6,102.02,97.42,0.815,57.05,0
PokemonEpilepticScene.mp4,356,11.87,93.32,194.46,101.14,0.875,33.61,0
PokemonEpilepticScene.mp4,474,15.8,51.03,189.2,138.17,0.991,2.55,0
PokemonEpilepticScene.mp4,476,15.87,20.99,194.24,173.25,1.0,1.93,1
PokemonEpilepticScene.mp4,516,17.2,84.84,142.73,57.89,0.67,66.32,1
PokemonEpilepticScene.mp4,524,17.47,151.38,246.38,95.0,0.693,1.59,1
PokemonEpilepticScene.mp4,530,17.67,15.7,74.6,58.9,1.0,3.07,1
PokemonEpilepticScene.mp4,531,17.7,74.6,140.78,66.19,1.0,2.75,1
PokemonEpilepticScene.mp4,533,17.77,79.5,142.24,62.74,0.999,2.88,1
PokemonEpilepticScene.mp4,536,17.87,79.55,141.46,61.9,0.993,3.1,1
PokemonEpilepticScene.mp4,538,17.93,79.59,141.08,61.5,0.98,7.14,1
PokemonEpilepticScene.mp4,541,18.03,79.96,140.81,60.85,0.967,8.32,1
PokemonEpilepticScene.mp4,545,18.17,79.35,137.42,58.07,0.935,13.3,1
PokemonEpilepticScene.mp4,550,18.33,78.98,133.76,54.78,0.89,18.36,1
PokemonEpilepticScene.mp4,554,18.47,78.42,132.87,54.45,0.864,22.65,1
PokemonEpilepticScene.mp4,558,18.6,78.76,128.87,50.12,0.811,27.25,1
PokemonEpilepticScene.mp4,561,18.7,78.01,127.23,49.22,0.791,29.72,1
PokemonEpilepticScene.mp4,563,18.77,76.61,124.27,47.66,0.767,32.3,1
PokemonEpilepticScene.mp4,565,18.83,76.27,122.44,46.17,0.75,34.09,1
PokemonEpilepticScene.mp4,569,18.97,75.55,119.72,44.17,0.729,35.82,1
PokemonEpilepticScene.mp4,571,19.03,74.45,117.97,43.52,0.711,37.53,1
PokemonEpilepticScene.mp4,576,19.2,72.37,113.69,41.31,0.674,40.9,1
PokemonEpilepticScene.mp4,579,19.3,71.36,111.35,39.99,0.653,42.25,1
PokemonEpilepticScene.mp4,584,19.47,69.42,106.47,37.04,0.613,43.48,1
PokemonEpilepticScene.mp4,587,19.57,68.55,105.69,37.14,0.597,44.11,1
PokemonEpilepticScene.mp4,589,19.63,68.54,105.46,36.92,0.591,44.2,1
PokemonEpilepticScene.mp4,591,19.7,68.54,105.55,37.01,0.59,44.53,1
PokemonEpilepticScene.mp4,594,19.8,68.42,105.78,37.37,0.589,44.86,1
PokemonEpilepticScene.mp4,596,19.87,68.65,105.94,37.29,0.589,44.75,1
PokemonEpilepticScene.mp4,601,20.03,68.2,105.41,37.21,0.588,44.85,1
PokemonEpilepticScene.mp4,605,20.17,68.14,105.58,37.44,0.59,45.05,1
PokemonEpilepticScene.mp4,609,20.3,67.91,105.35,37.43,0.589,45.17,1
PokemonEpilepticScene.mp4,613,20.43,67.95,105.74,37.79,0.589,45.28,1
PokemonEpilepticScene.mp4,616,20.53,68.42,105.88,37.46,0.588,45.15,1
PokemonEpilepticScene.mp4,618,20.6,67.84,104.96,37.12,0.589,44.78,1
PokemonEpilepticScene.mp4,620,20.67,68.18,105.21,37.03,0.588,44.66,1
PokemonEpilepticScene.mp4,623,20.77,67.89,104.81,36.92,0.588,44.64,1
PokemonEpilepticScene.mp4,625,20.83,68.22,150.58,82.37,0.969,5.84,1
PokemonEpilepticScene.mp4,631,21.03,80.01,148.64,68.64,1.0,6.41,1
PokemonEpilepticScene.mp4,636,21.2,80.12,149.75,69.63,0.999,6.69,1
PokemonEpilepticScene.mp4,639,21.3,80.49,150.23,69.74,1.0,6.32,1
PokemonEpilepticScene.mp4,644,21.47,85.74,151.03,65.29,0.973,10.2,1
PokemonEpilepticScene.mp4,646,21.53,100.32,154.51,54.18,0.838,20.15,1
PokemonEpilepticScene.mp4,649,21.63,101.59,153.72,52.12,0.853,31.14,1
PokemonEpilepticScene.mp4,651,21.7,113.95,153.02,39.07,0.62,31.87,1
PokemonEpilepticScene.mp4,659,21.97,93.25,125.34,32.1,0.668,56.25,1
PokemonEpilepticScene.mp4,734,24.47,46.06,72.84,26.77,0.256,58.7,1
PokemonEpilepticScene.mp4,745,24.83,68.4,102.09,33.69,0.367,71.08,1
PokemonEpilepticScene.mp4,749,24.97,75.25,113.77,38.52,0.433,70.48,1
PokemonEpilepticScene.mp4,752,25.07,121.89,189.74,67.85,0.744,57.75,0
PokemonEpilepticScene.mp4,765,25.5,24.06,221.54,197.47,1.0,2.41,0
PokemonEpilepticScene.mp4,770,25.67,154.01,209.97,55.96,0.919,40.12,0
PokemonEpilepticScene.mp4,779,25.97,45.46,104.54,59.08,0.883,30.18,0
PokemonEpilepticScene.mp4,781,26.03,40.18,92.4,52.22,0.807,22.79,0
PokemonEpilepticScene.mp4,792,26.4,36.56,100.06,63.5,0.962,30.65,0
PokemonEpilepticScene.mp4,812,27.07,35.19,91.77,56.58,0.857,21.91,0
PokemonEpilepticScene.mp4,824,27.47,37.2,96.97,59.78,0.829,29.46,0
BACKROOMSTrailer.mp4,99,4.13,0.0,123.84,123.84,0.904,64.03,0
BACKROOMSTrailer.mp4,579,24.15,0.0,138.04,138.04,0.886,61.44,0
BACKROOMSTrailer.mp4,1323,55.18,44.74,142.9,98.15,0.893,48.69,0
BACKROOMSTrailer.mp4,1521,63.44,55.52,81.12,25.6,0.552,78.55,0
BACKROOMSTrailer.mp4,1525,63.61,0.0,54.06,54.05,0.474,66.46,0
BACKROOMSTrailer.mp4,1584,66.07,46.25,117.23,70.98,0.651,85.28,0
BACKROOMSTrailer.mp4,1728,72.07,15.16,84.49,69.34,0.562,78.79,0
BACKROOMSTrailer.mp4,1757,73.28,95.79,119.27,23.48,0.512,87.78,0
BACKROOMSTrailer.mp4,1861,77.62,1.62,34.14,32.52,0.525,28.82,0
BACKROOMSTrailer.mp4,1865,77.79,0.01,25.89,25.88,0.118,70.97,0
BACKROOMSTrailer.mp4,1867,77.87,0.0,49.21,49.21,0.447,58.08,0
BACKROOMSTrailer.mp4,2003,83.54,11.15,101.72,90.57,0.714,68.55,0
BACKROOMSTrailer.mp4,2005,83.63,7.16,71.62,64.47,0.687,47.8,0
BACKROOMSTrailer.mp4,2102,87.67,1.37,71.49,70.12,0.763,51.74,0
BACKROOMSTrailer.mp4,2150,89.67,42.65,109.99,67.34,0.762,60.31,0
BACKROOMSTrailer.mp4,2246,93.68,36.69,143.44,106.75,0.937,40.28,0
BACKROOMSTrailer.mp4,2390,99.68,20.75,42.91,22.17,0.404,49.87,0
BACKROOMSTrailer.mp4,2438,101.68,49.65,141.32,91.68,0.846,44.7,0
BACKROOMSTrailer.mp4,2534,105.69,42.9,131.96,89.06,0.901,42.91,0
BACKROOMSTrailer.mp4,2654,110.69,48.88,88.14,39.26,0.714,55.47,0
BACKROOMSTrailer.mp4,2724,113.61,22.17,80.59,58.42,0.517,57.94,0
BACKROOMSTrailer.mp4,2725,113.66,80.59,128.47,47.88,0.618,37.28,0
BACKROOMSTrailer.mp4,2913,121.5,15.66,132.65,117.0,0.95,36.77,1
BACKROOMSTrailer.mp4,2915,121.58,15.29,132.63,117.34,0.95,36.78,1
BACKROOMSTrailer.mp4,2917,121.66,14.91,132.64,117.72,0.95,36.77,1
BACKROOMSTrailer.mp4,2919,121.75,24.64,132.63,107.99,0.938,36.78,1
BACKROOMSTrailer.mp4,2942,122.71,13.28,49.39,36.11,0.623,23.49,0
BACKROOMSTrailer.mp4,3097,129.17,0.68,39.09,38.4,0.43,48.52,0
EntertheVoidTrailer.mp4,152,6.08,5.35,55.71,50.35,0.338,80.55,1
EntertheVoidTrailer.mp4,156,6.24,39.52,66.43,26.9,0.314,82.12,1
EntertheVoidTrailer.mp4,164,6.56,30.68,69.11,38.43,0.37,81.41,1
EntertheVoidTrailer.mp4,165,6.6,69.11,89.89,20.78,0.333,99.07,1
EntertheVoidTrailer.mp4,175,7.0,34.72,60.62,25.9,0.34,73.52,1
EntertheVoidTrailer.mp4,183,7.32,0.01,35.41,35.41,0.258,62.69,1
EntertheVoidTrailer.mp4,218,8.72,5.93,26.66,20.73,0.187,56.59,1
EntertheVoidTrailer.mp4,232,9.28,6.27,29.87,23.6,0.203,60.48,1
EntertheVoidTrailer.mp4,402,16.08,0.28,21.38,21.1,0.244,23.45,0
EntertheVoidTrailer.mp4,403,16.12,21.38,45.86,24.48,0.343,49.64,0
EntertheVoidTrailer.mp4,683,27.32,9.2,30.14,20.93,0.303,38.99,0
EntertheVoidTrailer.mp4,705,28.2,0.75,37.14,36.39,0.43,40.23,0
EntertheVoidTrailer.mp4,725,29.0,10.45,36.0,25.55,0.337,39.73,0
EntertheVoidTrailer.mp4,773,30.92,4.7,41.3,36.6,0.245,67.82,0
EntertheVoidTrailer.mp4,781,31.24,6.53,33.93,27.4,0.187,54.51,0
EntertheVoidTrailer.mp4,807,32.28,0.01,20.36,20.35,0.245,24.33,0
EntertheVoidTrailer.mp4,829,33.16,18.21,51.24,33.04,0.489,48.1,0
EntertheVoidTrailer.mp4,891,35.64,0.01,21.15,21.14,0.286,27.6,0
EntertheVoidTrailer.mp4,913,36.52,14.45,39.27,24.82,0.359,48.32,0
EntertheVoidTrailer.mp4,1038,41.52,0.59,23.17,22.58,0.224,21.56,0
EntertheVoidTrailer.mp4,1039,41.56,23.17,65.25,42.09,0.72,50.07,0
EntertheVoidTrailer.mp4,1059,42.36,0.01,22.97,22.96,0.414,19.92,0
EntertheVoidTrailer.mp4,1060,42.4,22.97,45.69,22.72,0.418,42.22,0
EntertheVoidTrailer.mp4,1081,43.24,14.1,42.17,28.06,0.333,51.74,0
EntertheVoidTrailer.mp4,1165,46.6,15.83,43.42,27.59,0.374,45.12,0
EntertheVoidTrailer.mp4,1313,52.52,0.03,33.15,33.12,0.409,36.67,0
EntertheVoidTrailer.mp4,1375,55.0,8.3,31.42,23.12,0.325,38.99,0
EntertheVoidTrailer.mp4,1384,55.36,0.29,33.18,32.9,0.41,38.43,0
ClimaxTrailer.mp4,1,0.04,0.0,32.18,32.18,0.311,37.41,0
ClimaxTrailer.mp4,145,6.05,30.73,70.74,40.01,0.475,61.61,0
ClimaxTrailer.mp4,308,12.85,0.0,38.18,38.18,0.479,28.79,0
ClimaxTrailer.mp4,743,30.99,18.97,62.17,43.2,0.48,56.54,0
ClimaxTrailer.mp4,940,39.21,54.29,81.57,27.28,0.656,49.26,1
ClimaxTrailer.mp4,2159,90.05,13.7,39.89,26.19,0.365,33.68,0
ClimaxTrailer.mp4,2328,97.1,34.3,57.24,22.94,0.558,29.1,0
ClimaxTrailer.mp4,2427,101.23,16.36,43.73,27.37,0.469,32.54,0
ClimaxTrailer.mp4,2461,102.64,17.36,43.7,26.34,0.486,32.55,0
ClimaxTrailer.mp4,2509,104.65,27.24,181.61,154.37,0.997,10.75,0
ClimaxTrailer.mp4,2568,107.11,55.6,77.25,21.65,0.178,71.12,1
ClimaxTrailer.mp4,2571,107.23,55.96,79.88,23.91,0.195,72.35,1
ClimaxTrailer.mp4,2574,107.36,56.44,82.11,25.67,0.211,73.44,1
ClimaxTrailer.mp4,2577,107.48,56.39,83.89,27.49,0.226,74.31,1
ClimaxTrailer.mp4,2580,107.61,56.69,86.78,30.1,0.245,75.37,1
ClimaxTrailer.mp4,2583,107.73,56.11,89.8,33.69,0.272,76.47,1
ClimaxTrailer.mp4,2586,107.86,55.85,94.11,38.26,0.312,78.01,1
ClimaxTrailer.mp4,2588,107.94,55.51,96.45,40.94,0.336,79.29,1
ClimaxTrailer.mp4,2591,108.07,56.59,109.21,52.63,0.417,82.21,1
ClimaxTrailer.mp4,2594,108.19,55.95,120.03,64.08,0.489,83.64,1
ClimaxTrailer.mp4,2597,108.32,57.96,152.57,94.61,0.685,74.3,1
ClimaxTrailer.mp4,2600,108.44,58.98,156.58,97.59,0.768,75.35,1
ClimaxTrailer.mp4,2603,108.57,63.87,172.1,108.24,0.792,63.7,1
ClimaxTrailer.mp4,2606,108.69,69.3,168.89,99.59,0.748,67.01,1
ClimaxTrailer.mp4,2609,108.82,35.24,138.16,102.92,0.808,63.27,1
ClimaxTrailer.mp4,2611,108.9,111.57,163.28,51.71,0.78,82.27,1
ClimaxTrailer.mp4,2612,108.94,163.28,190.31,27.04,0.421,55.0,1
ClimaxTrailer.mp4,2613,108.98,190.31,224.0,33.69,0.275,0.01,0
ClimaxTrailer.mp4,2620,109.28,25.87,61.52,35.65,0.463,55.66,0
ClimaxTrailer.mp4,2630,109.69,21.05,61.49,40.44,0.476,55.67,0
ClimaxTrailer.mp4,2732,113.95,18.92,83.8,64.88,0.72,56.38,0
ClimaxTrailer.mp4,2915,121.58,2.45,24.04,21.59,0.157,59.8,1
